id,name,bic
res_bank#1,GEN0DEF1HZH,GEN0DEF1HZH
res_bank#2,DUETESM672,DUETESM672
res_bank#3,BYLADE1SRS,BYLADE1SRS
res_bank#4,VB Schwäbisch Gmünd -alt-,GENODES1VGD
res_bank#5,Fidor Bank München,FDDODEMMXXX
res_bank#6,Kreissparkasse Ostalb,OASPDE6AXXX
res_bank#7,VR-Bank Ostalb,GENODES1AAV
res_bank#8,Evangelische Bank Kassel,GENODEF1EK1
res_bank#9,Volksbank Hohenlohe,GENODES1VHL
res_bank#10,Sparkasse Nördlingen -alt-,BYLADEM1NLG
res_bank#11,Raiffeisenbank Rain -alt-,GENODEF1RLH
res_bank#12,LBBW/BW-Bank Stuttgart,SOLADEST600
res_bank#13,Raiffbk Heilsbr-Windsbach,GENODEF1WBA
res_bank#14,SOLADES1SMA,SOLADES1SMA
res_bank#15,UniCredit Bank-HypoVereinbk,HYVEDEMM065
res_bank#16,GENODEF1NE,GENODEF1NE
res_bank#17,UniCredit Bank-HypoVereinbk,HYVEDEMM406
res_bank#18,Sparkasse Ansbach,BYLADEM1ANS
res_bank#19,BYLADEM1DG,BYLADEM1DG
res_bank#20,SOLADES1AAL,SOLADES1AAL
res_bank#21,OASPDEAXXX,OASPDEAXXX
res_bank#22,Kr Spk Heidenheim,SOLADES1HDH
res_bank#23,Kr Spk Heilbronn,HEISDE66XXX
res_bank#24,Deutsche Bank,DEUTDEDB760
res_bank#25,Commerzbank Nürnberg,DRESDEFF760
res_bank#26,"Commerzbank CC SP, Berlin",COBADEFFXXX
res_bank#27,solarisBank Gf (S),SOBKDEB2XXX
res_bank#28,GENODEF1WB,GENODEF1WB
res_bank#29,DENODEF1DKV,DENODEF1DKV
res_bank#30,TEST,TEST
res_bank#31,Oberbank München,OBKLDEMXXXX
res_bank#32,ING-DiBa Frankfurt am Main,INGDDEFFXXX
res_bank#33,Berliner VB Berlin,BEVODEBBXXX
res_bank#34,VR Bk Schwäb. Hall-Crailsh.,GENODES1SHA
res_bank#35,Raiffeisenbank Bibertgrund,GENODEF1ZIR
res_bank#36,GEN0DEF1S06,GEN0DEF1S06
res_bank#37,Crailsheimer VB -alt-,GENODES1CRV
res_bank#38,Sparkasse Eichstätt -alt-,BYLADEM1EIS
res_bank#39,GEN0DEF1GZ2,GEN0DEF1GZ2
res_bank#40,Raiffeisenbank Neumarkt,GENODEF1NM1
res_bank#41,GENODEF1AN,GENODEF1AN
res_bank#42,GENODEF1GU,GENODEF1GU
