id,partner_id/id,partner_shipping_ids/id,tour_pricing_id/.id
partner_tour_config#2706,res_partner_id#2706,res_partner_id#2706,2
partner_tour_config#1430,res_partner_id#1430,res_partner_id#1430,3
partner_tour_config#1587,res_partner_id#1587,res_partner_id#1587,3
partner_tour_config#24879,res_partner_id#24879,res_partner_id#24879,2
partner_tour_config#24880,res_partner_id#24880,res_partner_id#24880,2
partner_tour_config#24871,res_partner_id#24871,res_partner_id#24871,2
partner_tour_config#24948,res_partner_id#24948,res_partner_id#24948,2
partner_tour_config#24549,res_partner_id#24549,res_partner_id#24549,2
partner_tour_config#24870,res_partner_id#24870,res_partner_id#24870,2
partner_tour_config#23991,res_partner_id#23991,res_partner_id#23991,2
partner_tour_config#24872,res_partner_id#24872,res_partner_id#24872,2
partner_tour_config#22381,res_partner_id#22381,res_partner_id#22381,2
partner_tour_config#23029,res_partner_id#23029,res_partner_id#23029,2
partner_tour_config#24349,res_partner_id#24349,res_partner_id#24349,2
partner_tour_config#22304,res_partner_id#22304,res_partner_id#22304,2
partner_tour_config#22394,res_partner_id#22394,res_partner_id#22394,2
partner_tour_config#22302,res_partner_id#22302,res_partner_id#22302,2
partner_tour_config#24873,res_partner_id#24873,res_partner_id#24873,2
partner_tour_config#24881,res_partner_id#24881,res_partner_id#24881,2
partner_tour_config#23042,res_partner_id#23042,res_partner_id#23042,2
partner_tour_config#24874,res_partner_id#24874,res_partner_id#24874,2
partner_tour_config#22576,res_partner_id#22576,res_partner_id#22576,2
partner_tour_config#23989,res_partner_id#23989,res_partner_id#23989,2
partner_tour_config#24906,res_partner_id#24906,res_partner_id#24906,2
partner_tour_config#22658,res_partner_id#22658,res_partner_id#22658,2
partner_tour_config#22240,res_partner_id#22240,res_partner_id#22240,2
partner_tour_config#22379,res_partner_id#22379,res_partner_id#22379,2
partner_tour_config#22643,res_partner_id#22643,res_partner_id#22643,2
partner_tour_config#24224,res_partner_id#24224,res_partner_id#24224,2
partner_tour_config#24041,res_partner_id#24041,res_partner_id#24041,2
partner_tour_config#24949,res_partner_id#24949,res_partner_id#24949,2
partner_tour_config#23974,res_partner_id#23974,res_partner_id#23974,2
partner_tour_config#24856,res_partner_id#24856,res_partner_id#24856,2
partner_tour_config#22809,res_partner_id#22809,res_partner_id#22809,2
partner_tour_config#24391,res_partner_id#24391,res_partner_id#24391,2
partner_tour_config#22306,res_partner_id#22306,res_partner_id#22306,2
partner_tour_config#23390,res_partner_id#23390,res_partner_id#23390,2
partner_tour_config#22307,res_partner_id#22307,res_partner_id#22307,2
partner_tour_config#22282,res_partner_id#22282,res_partner_id#22282,2
partner_tour_config#22396,res_partner_id#22396,res_partner_id#22396,2
partner_tour_config#24877,res_partner_id#24877,res_partner_id#24877,2
partner_tour_config#24907,res_partner_id#24907,res_partner_id#24907,2
partner_tour_config#22633,res_partner_id#22633,res_partner_id#22633,2
partner_tour_config#22309,res_partner_id#22309,res_partner_id#22309,2
partner_tour_config#22249,res_partner_id#22249,res_partner_id#22249,2
partner_tour_config#22308,res_partner_id#22308,res_partner_id#22308,2
partner_tour_config#23900,res_partner_id#23900,res_partner_id#23900,2
partner_tour_config#22405,res_partner_id#22405,res_partner_id#22405,2
partner_tour_config#22645,res_partner_id#22645,res_partner_id#22645,2
partner_tour_config#22250,res_partner_id#22250,res_partner_id#22250,2
partner_tour_config#24261,res_partner_id#24261,res_partner_id#24261,2
partner_tour_config#24375,res_partner_id#24375,res_partner_id#24375,2
partner_tour_config#24705,res_partner_id#24705,res_partner_id#24705,2
partner_tour_config#24908,res_partner_id#24908,res_partner_id#24908,2
partner_tour_config#22292,res_partner_id#22292,res_partner_id#22292,2
partner_tour_config#22253,res_partner_id#22253,res_partner_id#22253,2
partner_tour_config#22201,res_partner_id#22201,res_partner_id#22201,2
partner_tour_config#24950,res_partner_id#24950,res_partner_id#24950,2
partner_tour_config#23397,res_partner_id#23397,res_partner_id#23397,2
partner_tour_config#24936,res_partner_id#24936,res_partner_id#24936,2
partner_tour_config#24914,res_partner_id#24914,res_partner_id#24914,2
partner_tour_config#23521,res_partner_id#23521,res_partner_id#23521,2
partner_tour_config#24916,res_partner_id#24916,res_partner_id#24916,2
partner_tour_config#22310,res_partner_id#22310,res_partner_id#22310,2
partner_tour_config#22647,res_partner_id#22647,res_partner_id#22647,2
partner_tour_config#24909,res_partner_id#24909,res_partner_id#24909,2
partner_tour_config#24883,res_partner_id#24883,res_partner_id#24883,2
partner_tour_config#22692,res_partner_id#22692,res_partner_id#22692,2
partner_tour_config#22254,res_partner_id#22254,res_partner_id#22254,2
partner_tour_config#22260,res_partner_id#22260,res_partner_id#22260,2
partner_tour_config#24917,res_partner_id#24917,res_partner_id#24917,2
partner_tour_config#24438,res_partner_id#24438,res_partner_id#24438,2
partner_tour_config#22311,res_partner_id#22311,res_partner_id#22311,2
partner_tour_config#22256,res_partner_id#22256,res_partner_id#22256,2
partner_tour_config#22563,res_partner_id#22563,res_partner_id#22563,2
partner_tour_config#23034,res_partner_id#23034,res_partner_id#23034,2
partner_tour_config#24915,res_partner_id#24915,res_partner_id#24915,2
