id,payment_id/id,value_amount,value,days
account.account_payment_term_line_id#1,account.account_payment_term_id#1,97,percent,28
account.account_payment_term_line_id#2,account.account_payment_term_id#4,97,percent,14
account.account_payment_term_line_id#3,account.account_payment_term_id#3,97,percent,0
account.account_payment_term_line_id#4,account.account_payment_term_id#21,98,percent,0
account.account_payment_term_line_id#5,account.account_payment_term_id#5,97,percent,14
account.account_payment_term_line_id#6,account.account_payment_term_id#11,97,percent,14
account.account_payment_term_line_id#7,account.account_payment_term_id#7,97,percent,10
account.account_payment_term_line_id#8,account.account_payment_term_id#8,97,percent,0
account.account_payment_term_line_id#9,account.account_payment_term_id#24,98,percent,0
account.account_payment_term_line_id#10,account.account_payment_term_id#10,97,percent,14
account.account_payment_term_line_id#11,account.account_payment_term_id#11,98,percent,0
account.account_payment_term_line_id#12,account.account_payment_term_id#12,97,percent,30
account.account_payment_term_line_id#13,account.account_payment_term_id#6,97,percent,14
account.account_payment_term_line_id#14,account.account_payment_term_id#14,97,percent,14
account.account_payment_term_line_id#15,account.account_payment_term_id#11,98,percent,10
account.account_payment_term_line_id#16,account.account_payment_term_id#25,98,percent,14
account.account_payment_term_line_id#17,account.account_payment_term_id#17,98,percent,14
account.account_payment_term_line_id#18,account.account_payment_term_id#18,98,percent,14
account.account_payment_term_line_id#19,account.account_payment_term_id#19,98,percent,10
account.account_payment_term_line_id#20,account.account_payment_term_id#20,98,percent,10
account.account_payment_term_line_id#21,account.account_payment_term_id#9,98,percent,10
account.account_payment_term_line_id#22,account.account_payment_term_id#22,98,percent,8
account.account_payment_term_line_id#23,account.account_payment_term_id#23,98,percent,0
account.account_payment_term_line_id#24,account.account_payment_term_id#24,0,balance,14
account.account_payment_term_line_id#25,account.account_payment_term_id#25,0,balance,14
account.account_payment_term_line_id#26,account.account_payment_term_id#14,0,balance,14
account.account_payment_term_line_id#27,account.account_payment_term_id#3,0,balance,15
account.account_payment_term_line_id#28,account.account_payment_term_id#21,0,balance,14
account.account_payment_term_line_id#29,account.account_payment_term_id#8,0,balance,14
account.account_payment_term_line_id#30,account.account_payment_term_id#19,0,balance,14
account.account_payment_term_line_id#31,account.account_payment_term_id#4,0,balance,14
account.account_payment_term_line_id#32,account.account_payment_term_id#22,0,balance,14
account.account_payment_term_line_id#33,account.account_payment_term_id#7,0,balance,14
account.account_payment_term_line_id#34,account.account_payment_term_id#20,0,balance,11
account.account_payment_term_line_id#35,account.account_payment_term_id#1,0,balance,28
account.account_payment_term_line_id#36,account.account_payment_term_id#23,0,balance,14
account.account_payment_term_line_id#37,account.account_payment_term_id#6,0,balance,15
account.account_payment_term_line_id#38,account.account_payment_term_id#5,0,balance,30
account.account_payment_term_line_id#39,account.account_payment_term_id#13,0,balance,21
account.account_payment_term_line_id#40,account.account_payment_term_id#2,0,balance,15
account.account_payment_term_line_id#41,account.account_payment_term_id#17,0,balance,15
account.account_payment_term_line_id#42,account.account_payment_term_id#12,0,balance,30
account.account_payment_term_line_id#43,account.account_payment_term_id#11,0,balance,0
account.account_payment_term_line_id#44,account.account_payment_term_id#9,0,balance,10
account.account_payment_term_line_id#45,account.account_payment_term_id#16,0,balance,10
account.account_payment_term_line_id#46,account.account_payment_term_id#15,0,balance,30
account.account_payment_term_line_id#47,account.account_payment_term_id#18,0,balance,30
account.account_payment_term_line_id#48,account.account_payment_term_id#10,0,balance,15
