id,groupkey,name,parent_id/id
O#product_category#0,O_0,Warengruppe 0,
product_category#7188,7188,WERKZEUGE,O#product_category#0
product_category#5965,5965,AGR-VENTILE,O#product_category#0
product_category#7193,7193,WERKZEUGE BT,O#product_category#0
product_category#3034,3034,STOSSD[MPFER,O#product_category#0
product_category#3074,3074,STOSSD[MPFER,O#product_category#0
product_category#5619,5619,MOTORENTEILE,O#product_category#0
product_category#7562,7562,ARBEITSSCHUTZ,O#product_category#0
product_category#5669,5669,MOTORENTEILE,O#product_category#0
product_category#3519,3519,LENKGETRIEBE,O#product_category#0
product_category#4037,4037,ZUBEHOER,O#product_category#0
product_category#5914,5914,LUFTMASSENMESSER,O#product_category#0
product_category#5966,5966,AGR-VENTILE,O#product_category#0
product_category#4755,4755,WISCHERMOTOREN,O#product_category#0
product_category#1625,1625,BELEUCHTUNG,O#product_category#0
product_category#5598,5598,KEILRIPPENRIEMEN,O#product_category#0
product_category#5658,5658,MOTORENTEILE,O#product_category#0
product_category#5572,5572,KEILRIEMEN,O#product_category#0
product_category#2140,2140,BREMSSCHEIBEN,O#product_category#0
product_category#5468,5468,WASSERPUMPE+ZAHNRIMEN,O#product_category#0
product_category#5494,5494,KEILRIPPENRIEMEN,O#product_category#0
product_category#599,599,MAXGEAR,O#product_category#0
product_category#5216,5216,KLIMATECHNIK,O#product_category#0
product_category#560,560,DENSO O. ZUORDNUNG,O#product_category#0
product_category#558,558,LUFTFEDERUNG O. ZUORDNUNG,O#product_category#0
product_category#3500,3500,ELSTOCK TEILE,O#product_category#0
product_category#2131,2131,BREMSEN-ZIMMERMANN,O#product_category#0
product_category#5944,5944,ALANKO O. ZUORDNUNG,O#product_category#0
product_category#7069,7069,LADEGER[TE,O#product_category#0
product_category#7074,7074,MESSGER[TE,O#product_category#0
product_category#566,566,SKF O. ZUORDNUNG,O#product_category#0
product_category#547,547,CORTEGO OHNE ZUORDNUNG,O#product_category#0
product_category#591,591,FELGEN,O#product_category#0
product_category#529,529,ERA ONE ZUORDNUNG,O#product_category#0
product_category#3212,3212,STOSSD[MPFER,O#product_category#0
product_category#5457,5457,ZAHNRIEMENSATZ,O#product_category#0
product_category#5855,5855,TACHOWELLEN,O#product_category#0
product_category#5959,5959,AGR-VENTILE,O#product_category#0
product_category#3941,3941,RADSCHRAUBEN,O#product_category#0
product_category#5697,5697,STEUERKETTENSATZ,O#product_category#0
product_category#3073,3073,STOSSD[MPFER,O#product_category#0
product_category#5257,5257,KUPPLUNG LEITROLLEN,O#product_category#0
product_category#3219,3219,FEDERN,O#product_category#0
product_category#5958,5958,PARTSTEC-SORTIMENT,O#product_category#0
