id,name,description
product_text_module#1501,REIFENLABLE,"KRAFTSTOFFEFFIZIENT: _______    NASSHAFTUNG:   ______
.
ROLLGERÄUSCH:       ______DB     GERÄUSCHKLASSE: ______
............................................................
"
product_text_module#2379,NGK-ZÜNDKERZEN QUICK 2 BLISTER,"ACHTUNG!  BLISTERPACK INHALT 2 STÜCK
          DIE FIRMEN 174 UND 381 VERRECHNEN STÜCKPREIS
          DIE FIRMEN 888 UND 560 VERRECHNEN DAS SET A 2 ST.
************************************************************
"
product_text_module#1401,Textbaustein 1401,"-ERSATZ FÜR 910 UND 724
"
product_text_module#1402,Textbaustein 1402,"-ERSATZ FÜR 911,726 UND 676
"
product_text_module#1403,Textbaustein 1403,"- ERSATZ FÜR 912,517 UND 726
"
product_text_module#1404,Textbaustein 1404,"-ERSATZ FÜR 913,914 UND 727
"
product_text_module#1405,Textbaustein 1405,"- ERSATZ FÜR 652 UND 728
"
product_text_module#1406,Textbaustein 1406,"-ERSATZ FÜR BOSCH 014
"
product_text_module#1407,Textbaustein 1407,"-ERSATZ FÜR 915,916 UND 433
"
product_text_module#1408,Textbaustein 1408,"- ERSATZ FÜR BOSCH 039
"
product_text_module#1409,Textbaustein 1409,"-ERSATZ FÜR 917 UND 399
"
product_text_module#1526,Textbaustein 1526,"*** ST 6000 EUROPA ***
.
                         INHALT SET
.
                  100000101   GOLDCARD PREMIUM
                       GOLDCARD GOLDC.+12
                100000040   STECKERKOFFER FÜR FAST
                   ALLE EUROPÄISCHEN FAHRZEUGE
.___________________________________________________________
"
product_text_module#800063,Textbaustein 800063,"ZUSCHLAG FÜR EICHUNG / KONFORMITÄTSERKLÄRUNG/AB WERK:
"
product_text_module#11741,Textbaustein 11741,"INHALT DES AKTIONSPAKES
"
product_text_module#11742,Textbaustein 11742,"INHALT DES AKRIONSPAKETS
"
product_text_module#11743,Textbaustein 11743,"INHALT DES AKTIONSPAKETS
"
product_text_module#12313,Textbaustein 12313,"*** VOR LACKIERUNG VON KAR.TEILEN UNBEDINGT ***
       *** PASSFORM U. PASSGENAUIGKEIT ÜBERPRÜFEN! ***
"
product_text_module#12405,Textbaustein 12405,"I N H A L T
- 12 X ART.NR. 2700    A1 SPEED POLISH
- 12 X ART.NR. 2730    A1 SPEED WAX PLUS 3
-  1 HOCHWERTIGE EDELSTAHL ISOLIERFLASCHE
____________________________________________________________
"
product_text_module#14010,Textbaustein 14010,"-ERSATZ FÜR BOSCH 918
"
product_text_module#14011,Textbaustein 14011,"-ERSATZ FÜR 287 UND 288
"
product_text_module#14012,Textbaustein 14012,"-ERSATZ FÜR BOSCH 283
"
product_text_module#14013,Textbaustein 14013,"-ERSATZ FÜR 280, 286 UND 229
"
product_text_module#29704,Textbaustein 29704,"MIT ANSCHLUSSWINKEL  MOD. 1 AUS MESSING F. CR INJ. BOSCH
MIT ANSCHLUSSWINKEL  MOD. 4 AUS MESSING F. SIEMENS INJEK.
"
product_text_module#60801,Textbaustein 60801,"***************    BEARBEITUNGSKOSTEN   ********************
BEINHALTEN
____________________________________________________________
1.  TRANSPORTVERSICHERUNG
2.  ÜBERSETZUNG(EXTRA BERECHNET)
3.  DOKUMENTE
4.  ZOLL
____________________________________________________________
"
product_text_module#60802,Textbaustein 60802,"VERPACKUNG:  8 ST.  TRANSPORT-BOX-AUF EUR.-PALETTE   96 EURO
"
product_text_module#117105,Textbaustein 117105,"INHALT:
3.6 x 140 mm    200 St.
4.8 x 200 mm    400 St.
4.8 x 290 mm    400 St.
7.6 x 368 mm    200 St.
"
product_text_module#124051,Textbaustein 124051,"I N H A L T
- 5 X ART.NR. 2770 KUNSTSTOFF-TIEFENPFLEGER MATT PUMPSPRAY
- 5 X ART.NR. 2771 KUNSTSTOFF-FIEFENPFLEGER MATT KLAPPVERS.
- 5 X ART.NR. 2780 KUNSTSTOFF-TIEFENPFLEGER GLANZ PUMPSRAY
- 5 X ART.NR. 2781 KUNSTSTOFF-TIEFENPFLEGER GLANZ KLAPPVERS.
- 5 X ART.NR. 2772 KUNSTSTOFF-AKTIV SCHAUM, MATT
- 5 X ART.NR. 2782 KUNSTSTOFF-AKTIV SCHAUM, GLANZ
INCL. 1 A1 PROBEBEUTEL 50 STÜCK TIEFENPFLEGER
____________________________________________________________
"
product_text_module#124134,Textbaustein 124134,"INHALT
2700  A1 SPEED POLISH     4X500ML
2701  A1 SPEED POLISH     8X250ML
2720  A1 SPEED WAX        4X500ML
2740  A1 WASH & WAX       4X500ML
2750  A1 KUNSTOFF-LOTION  4X200ML
2760  A1 SPEED SHAMPOO    4X500ML
"
product_text_module#124139,Textbaustein 124139,"INHALT
1745  CW 1: 100     250 ML   30 STÜCK
1710  CW 1 :100     250 ML   30 STÜCK
"
product_text_module#1241,SCHWEFELSÄURE 60 LTR,"SCHWEFELSÄURE/AKKUSÄURE 1.28 ADR:  KLASSE 8 / ZIFFER 1 B
KUNSTSTOFF-BALLON 60 LRT.    UN :2796 SCHWEFELSÄURE, LÖSUNG
____________________________________________________________
"
product_text_module#1242,SCHWEFELSÄURE 30 LTR,"SCHWEFELSÄURE/AKKUSÄURE 1.28  ADR:KLASSE 8 / ZIFFER 1 B
KUNSTSTOFF-BALLON 30 LTR.     UN :2796  SCHWEFELSÄURE,LÖSUNG
____________________________________________________________
"
product_text_module#1251,KEIN GGVS JEDOCH WASSERGEFÄHRDUNG,"KEIN GEFAHRGUT GEM. GEFAHRSTOFFVERORDNUNG 67/548/EWG
WASSERGEFÄHRDUNGSKLASSE 2           WASSERGEFÄHRDEND
"
product_text_module#1361,INHALT WERKZEUGKOFFER,"INHALT WERKZEUGKOFFER
1B          RING MAULSCHLÜSSEL 6 7 8 9 10 11 12 13 14
                              15 16 17 18 19 20 21 22
145-1C      WASSERPUMPENZANGE  250 MM
137-10C     GRIPZANGE  250 MM            33 STECKSCHLÜSSEL
PH-42 88    STIFTSCHLÜSSEL-SATZ             8 10 12 13
50          ZÜNKERZENEINSATZ 20.8 MM
1987        GLEITGRIFF                   150S SCHLITZ-
1990-3      VERLÄNGERUNG  76 MM               SCHRAUBENDREH.
1990-5      VERLÄNGERUNG 125 MM
1990-10     VERLÄNGERUNG 250 MM          160S KREUZ-
1995        KARDANGELENK                      SCHRAUBENDREH.
1997        GELENKGRIFF
19          STECKSCHLÜSSEL-EINSÄTZE  8 10 11 12 13 14 15
            16 17 18 19 21 22 24 26 27 29 30 32
"
product_text_module#44301,Textbaustein 44301,"NTN/SNR EMPFIEHLT **HAZET** SPEZIALWERKZEUG !
"
product_text_module#100153,NACHFRAGE BATTERIEN ALTERNATIVE,"WEGEN EXTREM HOHER NACHFRAGE AN STARTERBATTERIEN,
KANN ES VORKOMMEN DASS WIR EIN ALTERNATIV PRODUKT
VON PROFI START LIEFERN: CALCIUM 30% POWER-PLUS
"
product_text_module#114701,BERU EMPFEHLUNG ZK,"BERU EMPFIEHLT: BEI JEDEM ZÜNDKERZENWECHSEL DEN
ISOLATOR FETTEN! ZÜNDKERZEN STECKERFETT ZKF 01
____________________________________________________________
"
product_text_module#114702,BERU EMPFEHLUNG GK,"BERU EMPFIEHLT: BEI JEDEM GLÜHKERZEN WECHSEL DAS
GLÜHKERZENGEWINDE FETTEN! MONTAGE FETT GKF 001
____________________________________________________________
"
