id,text_module_ids/id
product_template#49002,product_text_module#800063
product_template#8642,product_text_module#940012
product_template#8670,product_text_module#940012
product_template#77309,product_text_module#940012
product_template#77310,product_text_module#940012
product_template#4079,product_text_module#1341
product_template#1055,product_text_module#1241
product_template#796294,product_text_module#280001
product_template#17556,product_text_module#29704
product_template#615766,product_text_module#138101
product_template#1188671,product_text_module#3
product_template#269738,product_text_module#3
product_template#105548,product_text_module#3
product_template#615470,product_text_module#3
product_template#615463,product_text_module#3
product_template#220020,product_text_module#3
product_template#359228,product_text_module#3
product_template#359229,product_text_module#3
product_template#1864111,product_text_module#18000
product_template#397400,product_text_module#20579
product_template#1605884,product_text_module#20579
product_template#359202,product_text_module#3
product_template#269649,product_text_module#115201
product_template#267394,product_text_module#115201
product_template#269555,product_text_module#115201
product_template#1029527,product_text_module#115201
product_template#1029518,product_text_module#115201
product_template#269641,product_text_module#115201
product_template#267410,product_text_module#115201
product_template#267418,product_text_module#115201
product_template#1029342,product_text_module#115201
product_template#269547,product_text_module#115201
product_template#269570,product_text_module#115201
product_template#267369,product_text_module#115201
product_template#267354,product_text_module#115201
product_template#267373,product_text_module#115201
product_template#267042,product_text_module#115201
product_template#267409,product_text_module#115201
product_template#1029245,product_text_module#115201
product_template#267962,product_text_module#115201
product_template#269592,product_text_module#115201
product_template#269588,product_text_module#115201
product_template#269628,product_text_module#115201
product_template#269831,product_text_module#115201
product_template#269579,product_text_module#115201
product_template#269832,product_text_module#115201
product_template#269614,product_text_module#115201
product_template#269599,product_text_module#115201
product_template#269859,product_text_module#115201
product_template#269567,product_text_module#115201
product_template#1029531,product_text_module#115201
product_template#269207,product_text_module#115201
product_template#269112,product_text_module#115201
product_template#267320,product_text_module#115201
product_template#269573,product_text_module#115201
product_template#269572,product_text_module#115201
product_template#268042,product_text_module#115201
product_template#268038,product_text_module#115201
product_template#649803,product_text_module#115201
product_template#103691,product_text_module#3
product_template#3333,product_text_module#3333
product_template#80011,product_text_module#60802
product_template#2100271,product_text_module#115201
product_template#15672,product_text_module#1242
product_template#267417,product_text_module#115201
product_template#267351,product_text_module#115201
product_template#269839,product_text_module#115201
product_template#269865,product_text_module#115201
product_template#269064,product_text_module#115201
product_template#1029581,product_text_module#115201
product_template#267375,product_text_module#115201
product_template#269607,product_text_module#115201
product_template#269828,product_text_module#115201
product_template#267975,product_text_module#115201
product_template#269559,product_text_module#115201
product_template#267383,product_text_module#115201
product_template#267324,product_text_module#115201
product_template#267349,product_text_module#115201
product_template#1029248,product_text_module#115201
product_template#269611,product_text_module#115201
product_template#267350,product_text_module#115201
