filename,csv_header,odoo_field,required,transform,notes
product_template_new.csv,default_code,default_code,true,,Internal Reference (SKU)
product_template_new.csv,name,name,true,,Product Name
product_template_new.csv,type,detailed_type,false,,Product Type
product_template_new.csv,categ_id,categ_id,false,m2o_ref:product.category,Category External ID
product_template_new.csv,sale_ok,sale_ok,false,,Can be Sold
product_template_new.csv,purchase_ok,purchase_ok,false,,Can be Purchased
product_template_name.csv,id,id,true,,External ID for update
product_template_name.csv,name,name,true,,Updated Name
product_template_categ.csv,id,id,true,,External ID for update
product_template_categ.csv,categ_id,categ_id,true,m2o_ref:product.category,Category External ID
product_template_price.csv,id,id,true,,External ID for update
product_template_price.csv,list_price,list_price,true,,Sales Price
product_template_cost.csv,id,id,true,,External ID for update
product_template_cost.csv,standard_price,standard_price,true,,Cost
product_supplierinfo_new.csv,product_tmpl_id,product_tmpl_id,true,m2o_ref:product.template,Product External ID
product_supplierinfo_new.csv,partner_id,partner_id,true,m2o_ref:res.partner,Supplier External ID
product_supplierinfo_new.csv,price,price,false,,Supplier Price
product_supplierinfo_new.csv,min_qty,min_qty,false,,Minimum Quantity
